name,category,phone,reservation,address,transportation,hours,price_range,review_based_price_range,service_charges,seating_capacity,max_guests,private_rooms,charter,smoking_policy,parking,facilities,course_menu,drinks,scenes,services,homepage,opened_date,additional_notes,diner_idx,city_name,region_name,tabelog_url,total_review_count,facebook_url,instagram_url,twitter_url,payment_card,payment_emoney,payment_qr,card_types,price_min,price_max,review_price_min,review_price_max,has_private_room,has_smoking,has_reservation,has_parking,bayesian_score,rank
肉刺しX,肉料理,050-5593-9526,予約可,沖縄県那覇市安里63,モノレール【牧志駅】から徒歩5分,"月・火・水・木・日

17:00 - 01:00

L.O. 00:00

金・土

17:00 - 02:00

L.O. 料理00:00 ドリンク01:00","{'Dinner': '￥3,000～￥3,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥4,000～￥4,999'}",480円,16,,無,"可

（20人以下可）","全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,落ち着いた空間、カウンター席あり、ソファー席あり、座敷あり、スポーツ観戦可、電源あり、無料Wi-Fiあり,飲み放題、食べ放題,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、焼酎にこだわる,,2時間半以上の宴会可、お祝い・サプライズ可、ドリンク持込可、テイクアウト、デリバリー,,2020年1月20日,,47027626,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47027626/,86,,https://www.instagram.com/nikusashi_x_2020,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,4000,4999,0,1,1,1,0.6156969861982727,1.0
琉の国 本店,しゃぶしゃぶ、ジンギスカン、沖縄料理,050-8883-4329,予約可,沖縄県国頭郡本部町浜元513-1,"◆沖縄美ら海水族館から車で約５分
◆古宇利島から車で約25分
◆JUNGLIA【ジャングリア】から車で約25分
◆瀬底島から車で約10分

◆ホテルマハイナさんから車で約５分
◆マリンピアザオキさんから車で約５分
◆ヒルトン沖縄瀬底リゾートさんから車で約10分
◆オリオンホテル モトブさんから車で約５分

国道449号ステーキハウス88美ら海店さん斜め向かい
駐車場ございます。（8台程度）","月・火・木・金・土・日

17:00 - 22:00

水

定休日","{'Dinner': '￥4,000～￥4,999'}","{'Dinner': '￥4,000～￥4,999'}",,40,,"有

（4人可）

個室1室のみ完全予約制",可,"全席禁煙

店前に喫煙所あり",有,オシャレな空間、落ち着いた空間、席が広い,,焼酎あり、カクテルあり,,複数言語メニューあり（英語、中国語簡体字、韓国語）,,2024年11月29日,,47032473,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47032473/,44,,https://www.instagram.com/ryuno_kuni,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",4000,4999,4000,4999,1,2,1,1,0.5769718440592253,2.0
疾風ホルモン 頂,肉料理,098-894-2422,完全予約制,沖縄県那覇市久茂地2-4-21 新商マンション 2F,県庁前駅から166m,18:00 - 00:00,"{'Dinner': '￥15,000～￥19,999'}","{'Dinner': '￥20,000～￥29,999'}",,,,無,可,"全席禁煙

お客さんの希望により喫煙したい方がいたら、喫煙もOKにしているそうです。",無,,,,,,,,,47030975,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030975/,14,,,,1,1,1,[],15000,19999,20000,29999,0,2,2,0,0.5764759909248222,3.0
光久本家,しゃぶしゃぶ、沖縄料理,050-5595-3136,予約可,沖縄県那覇市久茂地3-8-1,県庁前駅徒歩5分,"月・火・水・木・金・土・日・祝日・祝前日・祝後日

17:00 - 22:00

L.O. 21:00","{'Dinner': '￥8,000～￥9,999'}","{'Dinner': '￥8,000～￥9,999'}",なし,54,,"有

（4人可、6人可、8人可、10～20人可）

10〜14名で使える個室完備","可

（50人以上可）",全席禁煙,無,落ち着いた空間,,焼酎あり、ワインあり,デート ｜ 接待,,https://mitsuhisa-honke.com/,2024年12月16日,,47032504,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032504/,69,,https://www.instagram.com/mitsuhisa_honke_/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",8000,9999,8000,9999,1,2,1,0,0.5747028534140003,4.0
シーサイドガーデン波の上,カフェ、バーベキュー、バー,050-5589-3119,予約可,沖縄県那覇市辻3-2-1 コスタビレッジエスパーナ 2F,"那覇空港から車で5分
ゆいレール旭橋駅から車で5分
2時間無料駐車場完備","月・火・水・木・金・土・日・祝日・祝前日・祝後日

10:00 - 23:00

L.O. 21:30","{'Dinner': '￥5,000～￥5,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",Barタイムのみ：男性チャージ料500円・女性チャージ料無料,54,,"有

（6人可）

個室はシュミレーションゴルフ＆プロジェクターミーティング 様々な目的で活用されています","可

（20人以下可、20人～50人可、50人以上可）","分煙

テラス可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,オシャレな空間、落ち着いた空間、席が広い、カウンター席あり、ソファー席あり、オープンテラスあり、カラオケあり、立ち飲みができる、プロジェクターあり、電源あり、無料Wi-Fiあり,飲み放題、3時間以上飲み放題,焼酎あり、ワインあり、カクテルあり,家族・子供と,2時間半以上の宴会可、お祝い・サプライズ可、ペット可、テイクアウト,,2022年5月20日,"テラス席ペットOK
テラス席喫煙可能",47028991,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47028991/,49,,https://www.instagram.com/seaside_garden_naminoue,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",5000,5999,1000,1999,1,1,1,1,0.5714667261835152,5.0
くにんだ,沖縄料理,050-5592-8588,予約可,沖縄県那覇市松尾1-2-7 真喜屋ビル 1F,国際通り県庁入口から徒歩1分,"月・火・水・木・金・土・日・祝日・祝前日・祝後日

11:00 - 15:00

L.O. 14:30

17:00 - 22:00

L.O. 21:00","{'Dinner': '￥8,000～￥9,999', 'Lunch': '￥3,000～￥3,999'}","{'Dinner': '￥8,000～￥9,999', 'Lunch': '￥3,000～￥3,999'}","ディナーチャージ料1,000円（税込）",30,,"有

（4人可、6人可、8人可、10～20人可）","可

（20人以下可）",全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり、バリアフリー、車椅子で入店可,,ワインあり,家族・子供と ｜ デート ｜ 接待,ドリンク持込可,https://kuninda.jp/,2023年12月12日,,47031209,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031209/,70,,https://www.instagram.com/kuninda_naha/,https://twitter.com/kuninda_naha,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",8000,9999,8000,9999,1,2,1,0,0.5713655694370945,6.0
純血統うるまアグーしゃぶしゃぶ金とん 松山本店,しゃぶしゃぶ,050-5596-0506,予約可,沖縄県那覇市松山1-1-10 京ビル5ロマネスク 1F,モノレール県庁前駅から徒歩8分、美栄橋駅から徒歩8分,"月・火・水・木・金・土・日・祝日・祝前日・祝後日

17:00 - 22:30

L.O. 料理22:00 ドリンク22:15","{'Dinner': '￥5,000～￥5,999'}","{'Dinner': '￥6,000～￥7,999'}",サービス料、チャージ料なし,34,,"有

（2人可、4人可、6人可、8人可、10～20人可、20～30人可）","可

（20人～50人可）","分煙（加熱式たばこ限定）

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,落ち着いた空間、座敷あり、掘りごたつあり,,日本酒あり、焼酎あり、ワインあり、カクテルあり,家族・子供と ｜ デート,,https://agu-kinton.jp/,2024年11月18日,,47032470,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032470/,11,,https://www.instagram.com/kintonmatsuyama,,1,1,1,"['AMEX', 'Master', 'VISA']",5000,5999,6000,7999,1,2,1,0,0.5685366013048655,7.0
PAUL,スペイン料理、イノベーティブ,不明の為情報お待ちしております,完全予約制,沖縄県国頭郡本部町備瀬372,,,{},"{'Dinner': '￥20,000～￥29,999'}",,,,無,可,全席禁煙,有,,,ワインあり、ワインにこだわる,,,https://8131paul.com/,2023年12月1日,,47031254,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47031254/,33,,https://www.instagram.com/8131paul_okinawa,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",,,20000,29999,0,2,2,1,0.567563070550219,8.0
あぐー豚しゃぶしゃぶ専門店 オーシャンBoo！ 国際通り店,しゃぶしゃぶ、豚しゃぶ、居酒屋,050-5594-2303,予約可,沖縄県那覇市牧志3-12-4 髙泉ビル 3F,牧志駅より徒歩5分,"月・火・水・木・金・祝前日・祝後日

17:00 - 22:00

L.O. 料理21:00 ドリンク21:30

土

12:00 - 15:00

L.O. 料理14:00 ドリンク14:30

17:00 - 22:00

日・祝日

12:00 - 15:00

L.O. 料理14:00 ドリンク14:30

17:00 - 22:00

L.O. 料理21:00 ドリンク21:30","{'Dinner': '￥4,000～￥4,999', 'Lunch': '￥2,000～￥2,999'}","{'Dinner': '￥5,000～￥5,999'}",お通し代として330円頂戴しております。,50,,無,"可

（20人以下可、20人～50人可）",全席禁煙,無,オシャレな空間、カップルシートあり、カウンター席あり、ソファー席あり、電源あり、無料Wi-Fiあり,,,家族・子供と,2時間半以上の宴会可,https://ocean-boo.com/,2024年8月5日,"昨今、無断キャンセルが多発しており、海外からお越しのお客様、団体のお客様等には前日に予約確認をさせて頂いております。

ご返信がなかった場合は、別のお客様を優先的にご案内しております。

ご不便をおかけしてしまい申し訳ございませんが、何卒よろしくお願い致します。


Recently, there have been many cancellations without prior notice, so we ask customers coming from overseas, groups, etc. to confirm their reservations the day before. If we do not receive a reply, we will give priority to another customer. We apologize for any inconvenience this may cause and appreciate your understanding.",47031947,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031947/,55,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",4000,4999,5000,5999,0,2,1,0,0.560525085117025,9.0
桜坂泰料理 fuwaro,タイ料理,090-3796-2060,予約可,沖縄県那覇市牧志3-2-45,モノレール牧志駅から徒歩10分,"月・火・木・金・土・日

18:00 - 03:00

水

定休日","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥4,000～￥4,999'}",,36,,"有

（6人可）

半個室(6名)",可,"全席禁煙

店外に灰皿有り",無,オシャレな空間、カウンター席あり、座敷あり,飲み放題,焼酎あり、ワインあり、カクテルあり,家族・子供と ｜ 大人数の宴会,お祝い・サプライズ可,https://fuwaro.jp/,2024年5月7日,3日以上前のご連絡で誕生日ケーキのご用意可能,47031771,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031771/,24,,https://www.instagram.com/fuwaro.official/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,4000,4999,1,1,1,0,0.5596760660832305,10.0
